,top,contact_threshold,par_positions,nat_contact,nat_contact_%,evol_contact,evol_contact_%,match_positions,prom_contact,prom_contact_%,match_positions_prom,ref_contact,ref_contact_%,match_positions_reference
1,0.5,1,25,16,64,25,100,3,25,100,1,24,96,1
2,1.0,1,51,32,62,51,100,8,51,100,7,44,86,8
3,2.0,1,103,60,58,91,88,24,94,91,25,68,66,22
4,3.0,1,154,76,49,94,61,30,117,75,34,81,52,30
5,4.0,1,206,89,43,94,45,37,139,67,52,93,45,43
6,5.0,1,257,104,40,94,36,42,151,58,68,103,40,57
7,0.5,4,25,16,64,25,100,3,24,96,1,23,92,1
8,1.0,4,51,32,62,51,100,8,43,84,7,43,84,8
9,2.0,4,103,57,55,72,69,23,83,80,24,66,64,22
10,3.0,4,154,71,46,75,48,28,102,66,32,78,50,30
11,4.0,4,206,83,40,75,36,34,124,60,49,90,43,43
12,5.0,4,257,97,37,75,29,39,134,52,65,97,37,56
13,0.5,8,25,13,52,17,68,3,9,36,1,11,44,1
14,1.0,8,51,27,52,29,56,7,23,45,6,29,56,8
15,2.0,8,103,45,43,39,37,19,51,49,20,44,42,20
16,3.0,8,154,52,33,40,25,22,61,39,25,53,34,26
17,4.0,8,206,60,29,40,19,26,78,37,36,65,31,36
18,5.0,8,257,69,26,40,15,28,85,33,48,70,27,45
